Service code,Service label,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023,Imported value in 2024
5.2,Construction in the reporting economy,6965257,10005980,12929953,16376170,11434653,15771276,13697236,18339749,21760544,20150284,18438094,17335772,18729832,19370129,22164108,23165938,22146285,23670091,22105261,12745832
5.1,Construction abroad,1686529,2166384,3266178,4832576,4528609,5988147,7969301,8383911,9293007,11605008,14209079,14179225,15106512,18870459,15560435,12821222,15124094,17829607,15808340,5512712
