Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
American Samoa,ASM,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,3.066322136,20.44960722,19.80850621,13.47579338,-19.97958663,-0.625,9.600821461,17.4669165,22.15741987,22.4149188,9.550318344,11.1063778,-4.973434847,4.060752781,-2.65045559,-5.943100996,4.304165028,2.082125043,10.740867,7.241618141,7.723771707,7.75618963,6.336547972,-18.14816968,6.037217671,8.65856926,1.882217565,19.37800008,35.48741341,8.079057298,-0.013844982,-6.529966998,-25.42374974,-13.31258587,2.402276243,5.771561772,4.977080395,2.01702971,14.42611616,10.01050254,21.16393121,2.24829462,-19.72321627,11.01818612,3.890981451,1.044338794,
Australia,AUS,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.514103403,-2.455937202,2.659022953,4.176198949,3.710687305,3.053047237,1.554145032,5.220073139,3.500719389,3.357462625,-0.953531885,4.319052075,5.912935998,2.241482474,2.063889187,2.085314492,4.640778471,4.322088096,0.849332367,3.111653759,1.291102466,6.065879201,3.394411688,4.168000216,1.487534489,0.909209688,-1.052680484,3.902443323,1.135913966,-0.27167688,-0.674094871,0.560410311,0.883873879,0.544553061
Austria,AUT,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,5.889592655,-1.120954068,3.221111513,1.954826775,-2.058474235,-2.052136552,2.428371765,-2.468359391,5.194656068,1.789984349,0.402673834,3.441295786,2.629324791,6.294962404,4.298874608,1.078495632,-0.013080632,4.799325375,3.198596633,1.488717751,1.274924682,2.935377122,3.173569129,3.537748791,1.178887994,-0.868849481,2.476524592,3.159949309,2.487706139,3.3514552,4.823494381,0.576944877,-10.63340209,2.673758769,3.098868525,1.334009351,0.522833795,0.094014215,-0.150130826,3.350961795,3.152690579,3.063544256,0.510278141,-5.741299909,6.180798946,3.877251118,-2.200285112,-5.514727777
Azerbaijan,AZE,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.1340901,-27.25610388,-13.39563883,7.29694833,17.72873823,17.90684074,2.63610751,-13.23745704,2.764230131,15.18757689,14.11852727,11.87272038,43.4429093,49.81877843,32.88100363,9.694970628,10.5976497,4.693274791,-4.271049585,-1.016124406,4.391424183,0.423825238,-2.36430804,-5.751199919,-3.070874113,-0.661291835,1.172456001,-5.014850591,3.142334089,0.393457372,-0.271252256,2.076111058
Burundi,BDI,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,5.62720672,-2.32581485,1.862587026,3.664027539,0.62683001,10.34428804,24.43582962,11.41616184,0.811383295,10.13145548,9.575073765,9.246610916,3.247062081,1.541064341,9.308137707,1.323543822,7.410800083,0.555370665,0.71916651,7.488088066,9.27966372,8.569997557,-14.02000001,-18.47,-16.59000001,3.880000023,-1.050851708,-1.589999972,4.58999996,-6.230151807,-6.230151808,-6.230151778,-6.230151802,-6.230151832,1.550918928,5.368245093,6.112025977,2.402175291,11.83542088,0.798564721,1.851459127,7.722968124,2.829263915,6.538018723,-0.605550777,-0.511409716,4.188270765,8.924272094,1.341980404,0.346615868,10.63899435,2.84299365,3.268886045,-0.182187289
Belgium,BEL,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.328815828,5.901735074,1.535956858,1.709041983,6.086971611,0.429825566,0.027187634,0.348082478,4.885583653,2.41284598,0.842582059,4.785669839,-1.967996956,-4.271331699,3.061714738,1.864342028,-2.293217011,0.725189008,1.39116667,0.771276953,-1.195514987,1.019776496,0.515028237,3.468336643,-5.374634284,-1.494986388,4.632185411,0.247796421,-0.580225944
Benin,BEN,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,-7.24692769,14.05375598,-2.839775751,28.26079718,-13.56662801,-12.37372098,14.25993682,-6.270615436,7.829513691,-1.277845056,19.09907171,34.38589636,-3.907365864,8.433770101,9.166653028,-21.37404749,-0.161811814,5.996756203,7.804276568,8.199613791,4.536951693,9.052401456,-1.793645191,4.833912976,3.921187517,7.696279374,3.508440566,-0.187647251,1.749735869,9.208547035,13.35750338,1.858784307,1.177036833,1.075484477,6.595173593,3.048635753,-1.770191052,-8.902815787,1.531987043,3.367779983,0.175324284,3.664171877,6.199581911,3.891504544,13.78687545,0.891605888,0.469051557,4.84097645,13.55839444,5.17512692,9.116355904,7.888828425,7.291919437,9.657356101
Burkina Faso,BFA,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,3.996846938,2.018167545,13.07972554,-11.68376936,20.98329386,10.77334645,-16.91617943,7.659246531,-2.920367027,4.14897282,-1.333099167,7.896378194,0.783076335,1.748231836,5.538926695,10.10692636,8.37000755,-0.950753378,-0.54298455,7.629099287,0.125977893,4.162907087,5.274129284,-4.562996885,0.198362208,-0.870013453,20.39839101,4.344255316,34.6975079,-3.091173227,5.058291512,6.045936023,13.8733313,5.569582391,5.042291904,5.260776488,13.79095062,-2.147389857,11.40718689,12.01703323,12.51931791,-1.726322636,4.649743256,10.39052044,6.511439243,4.999020042,5.261438353,9.452730832,9.462667438,11.32495048,7.982186502,-9.893999576,5.29227552,-5.415685842
Bangladesh,BGD,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,2.033753924,26.64647817,3.919266143,36.05367954,7.88599114,-4.007914719,-13.32195305,18.40282923,6.022495615,0.737672313,-19.63835617,-46.68484858,69.68998827,20.60461415,-12.59212084,-1.545747865,17.14595329,4.586990389,21.1330198,-3.820950915,5.009257621,3.377545208,3.899067443,9.628580418,6.188435482,6.908457935,8.626892432,3.12302686,3.779146169,7.297530481,4.710898396,6.989203265,8.094186606,8.129669186,10.13436683,6.736726691,5.225481969,8.726901366,5.241305042,6.255771369,7.461679688,5.803009825,6.581699729,7.049271768,7.932370959,9.797899957,9.027828232,7.033534041,6.913173255,7.032201958,9.01913018,9.435598764,9.639358906,8.160014235,9.666904855,11.09373384,8.272164853,10.19581392,11.63332345,3.611078321,10.28711502,9.855663436,8.367351462,3.506181257
