Code,Service label,Exported Value in 2005,Exported Value in 2006,Exported Value in 2007,Exported Value in 2008,Exported Value in 2009,Exported Value in 2010,Exported Value in 2011,Exported Value in 2012,Exported Value in 2013,Exported Value in 2014,Exported Value in 2015,Exported Value in 2016,Exported Value in 2017,Exported Value in 2018,Exported Value in 2019,Exported Value in 2020,Exported Value in 2021,Exported Value in 2022,Exported Value in 2023,Exported Value in 2024
5.1,Construction abroad,,,,763494,581828,551498,701545,674514,799527,704105,582494,701777,745590,785335,720942,651052,806629,844545,1099650,
5.2,Construction in the reporting economy,,,,220274,152930,133897,111356,46252,57109,37198,42161,99621,133302,159429,141054,190747,193969,209557,276805,
